,importancia_gini
AF Supl. (μg/d),0.3893323432816486
N° Panes/d,0.1564349309687856
Antes emb.,0.1259484390927465
Todo emb.,0.081971625720399
Pan integral,0.05321077103948973
Marraqueta,0.05165579295293788
Hallulla,0.04902931517898967
Clúster 2,0.02698560816338896
Clúster 4,0.021238938431674438
Clúster 3,0.015382882844695956
Clúster 1,0.014904653947941188
Clúster 0,0.011764062615104032
Sin supl.,0.0021406357621985973
